kanji,english,explanation,primitive
型,mould,"_Punish_ . . . _soil_. In cases like this, you might find it easier to break the character up into its more basic elements, like this: _two hands_ . . . _saber_ . . . _soil_.",
才,genius,"Whatever one is particularly adept at - one's special "" **genius** "" \- one can do very easily, ""with one finger"" as the phrase goes. This kanji is a pictograph of that one finger. Note how its distinctive form is created by writing the final stroke of the element for _fingers_ backwards.","* The primitive meaning, _genie_ , derives from the roots of the word _genius_. Use the _genie_ out in the open when the primitive appears to the right of or below its relative primitive, in that case it also keeps its same form. At the left, the form is altered, and the meaning becomes a _genie in the bottle_."
財,property,Clam . . . genie.,
材,lumber,Tree . . . genie.,
存,suppose,"_Genie in the bottle_ . . . _a child_. Hint: focus on the key word's connotation of  ""make believe"".",
在,exist,Genie in the bottle . . . soil.,
乃,from,"This pictograph of a clenched fist is another of the ""hand primitives."" Take note of its rather peculiar drawing. Try to think of drawing a _fist_ (the primitive meaning)  "" **from** "" this character to give yourself a connotation for the otherwise abstract key word.",* The primitive meaning is taken from the pictograph: a _fist_.
携,portable,Fingers . . . turkey . . . fist.,
及,reach out,"The addition of a final stroke transforms this character from the primitive for a clenched _fist_ into the kanji for **reaching out** , much as a stroke of kindness can often turn anger into acceptance.","* As a primitive, this shall stand for _outstretched hands_. Only take care not to confuse it with that for _beg_ (Frame 501)"
吸,suck,_Mouth_ . . . _outstretched hands_. Hint: use the image of a nursing baby.,
扱,handle,Finger . . . outstretched hands.,
丈,length,"The **length** whose measure this kanji depicts extends from the tip of one hand to the tip of the other with _arms_ at full length. Notice the final stroke, which cuts across the vertical second stroke to distinguish it from _large_ (Frame 112).",
史,history,A mouth . . . tucked under the arm.,
吏,officer,One . . . mouth . . . tucked under the arm.,
更,grow late,The implication behind the meaning of **grow late** is that things are changing in the same way that the day turns into night. The elements: _ceiling_ . . . _sun_ . . . _tucked under the arm_.,
硬,stiff,Rocks . . . grow late.,
梗,spiny,"This character refers originally to a deciduous, rough tree that grows on mountain plains. From this it gets the secondary sense of rugged or **spiny**. Its primitive elements: _tree_ . . . _grow late_.",
又,or again,"Like the several abbreviations in Roman script to indicate ""and"" (+, &, etc.), this short two-stroke kanji is used for the similar meaning of **or again**.","* As a primitive, it will mean _crotch_ , as in the _crotch_ of the arm. Or whatever."
双,pair,The _crotch_ reduplicated gives us a **pair**.,
桑,mulberry,"_Crotches_ , _crotches_ everywhere . . . _tree_. Hint: think of a group of children playing an original version of  ""Here We Go 'Round the **Mulberry** Bush. """,
隻,vessels,The key word indicates the Japanese generic term for counting ships. Its elements: _turkey_ . . . _crotch_.,
護,safeguard,Words . . . flowers . . . vessels.,
獲,seize,A pack of _wild dogs_ . . . _flowers_ . . . _vessels_. Do not confuse this with the character for _arrest_ (Frame 706).,
奴,guy,Woman . . . crotch.,
怒,angry,Guy . . . heart.,
友,friend,By one's side . . . crotch.,
抜,slip out,Fingers . . . friend.,
投,throw,Fingers . . . missile.,
没,drown,Water . . . missile.,
股,thigh,Flesh . . . missile.,
設,establishment,Words . . . missile.,
撃,beat,Car . . . missile . . . hand.,
殻,husk,Samurai . . . superfluous . . . missile.,
支,branch,Needle . . . crotch.,
技,skill,Fingers . . . branch.,
枝,bough,"_Tree_ . . . _branch_. Take a moment to focus on the differences between a **bough** , a _branch_ , and a _twig_ (Frame 319).",
肢,limb,Part of the body . . . branch.,
茎,stalk,Flower . . . spool.,
怪,suspicious,State of mind . . . spool.,
軽,lightly,Car . . . spool.,
叔,uncle,Above . . . little . . . crotch.,
督,coach,Uncle . . . eye.,
寂,loneliness,House . . . uncle.,
淑,graceful,Water . . . uncle.,
反,anti-,Cliff . . . crotch.,
坂,slope,Ground . . . anti-.,
板,plank,Tree . . . anti-.,
返,return,Anti- . . . road.,
販,marketing,Shells/money . . . anti-.,
爪,claw,"This character is a pictograph of a bird's **claw** , and from there comes to mean animal **claws** in general (including human fingernails).","* As a primitive, we shall use the graphic image of a _vulture_ , a bird known for its powerful _claws_. It generally appears above another primitive, in which case it gets squeezed into the form ⺥."
妥,gentle,Vulture . . . woman.,
乳,milk,Fledglings . . . hook.,
浮,floating,Water . . . fledglings.,
淫,lewd,Water . . . vulture . . . porter.,
将,leader,Turtle . . . vulture . . . glue.,
奨,exhort,_Leader_ . . . _St. Bernard dog_. Do not confuse with _urge_ (Frame 300).,
采,grab,Vulture . . . tree.,
採,pick,"Unlike _pick up_ (Frame 720), this character is used for **picking** fruits from trees. Its elements: _finger_ . . . _grab_.",
菜,vegetable,Flower . . . grab.,
受,accept,Birdhouse . . . crotch.,
授,impart,Fingers . . . accept.,
愛,love,Birdhouse . . . heart . . . walking legs.,
曖,unclear,Sun . . . love.,
払,pay,Finger . . . elbow.,
広,wide,Cave . . . elbow.,
勾,hooked,_Bound up_ . . . _elbow_. Think of this key word in the sense of something that has been nabbed or cought.,
拡,broaden,_Fingers_ . . . _wide_. The connection with the previous character is very close. Beware.,
鉱,mineral,Metal . . . wide.,
弁,valve,Elbow . . . two hands.,
雄,male,_By one's side_ . . . _elbow_ . . . _turkey_. Its match is in frame 605.,
台,pedestal,Elbow . . . mouth.,
怠,neglect,Pedestal . . . heart.,
治,reign,Water . . . pedestal.,
冶,metallurgy,Ice . . . pedestal.,
始,commence,Woman . . . pedestal.,
胎,womb,Part of the body . . . pedestal.,
窓,window,House . . . human legs . . . elbow . . . heart.,
去,gone,Soil . . . elbow.,
法,method,Water . . . gone.,
会,meeting,"_Meeting_ . . . _wall_. This is the full character for **meeting** , from which the abbreviated primitive that we met back in lesson 12 gets its name.",
至,climax,"_Wall_ . . . _soil_. The key word allows for the full variety of connotations: to peak, to arrive at the end, and the like.",
室,room,House . . . climax.,
到,arrival,Climax . . . saber.,
致,doth,"The archaic English form for ""does"" indicates a humble form of the verb ""to do."" It is made up of _climax_ and _taskmaster_.",
互,mutually,"When you draw this character think of linking two _walls_ together, one right side up and the other upside down.",
棄,abandon,_Infant_ . . . _buckle_ (See frame 444) . . . _tree_.,
育,bring up,"Since the key word has to do with raising children to be strong both in mind and body, it is easy to coordinate the primitive elements: _infant_ . . . _meat_.",
撤,remove,Fingers . . . bring up . . . taskmaster.,
充,allot,Infant . . . human legs.,
銃,gun,Metal . . . allot.,
硫,sulfur,Rock . . . infant . . . flood.,
流,current,_Water_ . . . _infant_ . . . _flood_. Be sure to distinguish the two water primitives from one another in making your story.,
允,license,Elbow . . . human legs.,
唆,tempt,Mouth . . . license . . . walking legs.,
出,exit,The kanji for **exit** pictures a series of mountain peaks coming out of the _earth_. Learn it together with the following frame.,
山,mountain,Note the clearer outline of a triangular **mountain** here.,
拙,bungling,Fingers . . . exit.,
岩,boulder,Mountain . . . rock.,
炭,charcoal,Mountain . . . ashes.,
岐,branch off,Mountains . . . branch.,
峠,mountain pass,Mountain . . . above . . . below.,
崩,crumble,Mountain . . . companion.,
密,secrecy,House . . . invariably . . . mountain.,
蜜,honey,House . . . invariably . . . insect.,
嵐,storm,Mountain . . . winds.,
崎,promontory,_Mountain_ . . . _strange_. Hint: you might save yourself the trouble of a story here simply by recalling the kanji for _cape_ (Frame 164) and toying around with the differing images suggested by the key words **promontory** and _cape_.,
崖,bluffs,Mountain . . . cliff . . . ivy.,
入,enter,"This character is meant to be a picture of someone walking leftwards, putting one leg forward in order to **enter** someplace. Since the  ""in"" side of a character is the left, it should be easy to remember the writing of this character.","* As a primitive, the meaning of the key word is expanded to include: _to go in_ , _to put in_ , _to come in_ , and the like. It generally appears atop its relative primitive, where, unlike the element for _umbrella_ , the two strokes do not touch each other, making it virtually the same as the kanji for _eight_. When it appears in any other position, however, it retains its original form."
